id,data,descricao,tipo,valor,unidade,origem
FIN-0DD3ED648497,2025-10-14,Venda de acessórios,Entrada,61.99,,legado_localstorage
FIN-83073CB926A8,2025-10-14,Salario João e Gustavo,Saída,1750,,legado_localstorage
FIN-468EF7FF4103,2025-10-18,Compra de produtos,Saída,25,,legado_localstorage
FIN-8C27A936224A,2025-10-18,Almoço,Saída,133,,legado_localstorage
FIN-0C33BCE53D52,2025-10-18,Imposto Simples,Saída,249,,legado_localstorage
FIN-8E0E60C69412,2025-10-18,Contador,Saída,350,,legado_localstorage
FIN-F1CCC1B67B09,2025-10-18,Luz,Saída,496,,legado_localstorage
FIN-742A0F229E7A,2025-10-22,Venda de acessórios,Entrada,29,,legado_localstorage
FIN-92B3593B6B88,2025-10-22,Venda de roupinha,Entrada,36,,legado_localstorage
FIN-3CAAA4530E55,2025-10-22,Combustivel,Saída,50,,legado_localstorage
FIN-220D09ED3F2B,2025-10-22,Almoço,Saída,50,,legado_localstorage
FIN-337EEA534DE7,2025-10-23,gravatas,Saída,76.1,,legado_localstorage
FIN-9D59B96B80A7,2025-10-22,Compra de produtos,Saída,148.52,,legado_localstorage
FIN-8645A641A80A,2025-10-23,venda de guia,Entrada,60,,legado_localstorage
FIN-B7A8C47295CA,2025-10-25,Aluguel,Saída,2200,,legado_localstorage
FIN-313721823A68,2025-10-22,MIchele free,Saída,1200,,legado_localstorage
FIN-70B24404F21E,2025-10-31,Salario João e Gustavo,Saída,1750,,legado_localstorage
FIN-91FE229AC2CF,2025-10-25,Ar condicionado',Saída,500,,legado_localstorage
FIN-88A3535969B7,2025-10-28,Venda de roupinhas e acessorios,Entrada,340,,legado_localstorage
FIN-7EFA063D9862,2025-10-30,Venda de espuma bucal,Entrada,20,,legado_localstorage
FIN-CB6FCDF84EDF,2025-10-31,Almoço,Saída,160,,legado_localstorage
FIN-1C804EDE9AE3,2025-10-31,Henry free,Saída,180,,legado_localstorage
FIN-9D7FDC321347,2025-11-01,Henry free,Saída,180,,legado_localstorage
FIN-D838B1E18170,2025-11-01,Almoço,Saída,124,,legado_localstorage
FIN-1F43D9537309,2025-11-05,Venda de acessórios,Entrada,17,,legado_localstorage
FIN-3AEB3FBA6A18,2025-11-07,Combustivel,Saída,50,,legado_localstorage
FIN-AB904E8F7917,2025-11-07,Henry free,Saída,180,,legado_localstorage
FIN-E16680AF8477,2025-11-08,Almoço,Saída,96,,legado_localstorage
FIN-99E0A7C7A245,2025-11-08,Venda de acessórios,Entrada,17,,legado_localstorage
FIN-79DB91E394A2,2025-11-08,Compra de produtos,Saída,18.9,,legado_localstorage
FIN-FB514E71D68C,2025-11-11,Venda de acessórios,Entrada,12,,legado_localstorage
FIN-BDCAEA5208C7,2025-11-11,Combustivel,Saída,90,,legado_localstorage
FIN-3E05DCCF0C06,2025-11-08,Henry free,Saída,350,,legado_localstorage
FIN-DEBCB90627BE,2025-11-15,Combustivel,Saída,50,,legado_localstorage
FIN-C6D59FEDB975,2025-11-15,Venda de acessórios,Entrada,20,,legado_localstorage
FIN-2766EF2A52BB,2025-11-20,Combustivel,Saída,50,,legado_localstorage
FIN-644B60B79EC0,2025-11-21,Venda de fraldas,Entrada,18,,legado_localstorage
FIN-A2D22E6E5B00,2025-11-27,Combustivel,Saída,50,,legado_localstorage
FIN-F8E0F78D72BC,2025-11-29,Combustivel,Saída,50,,legado_localstorage
FIN-B5E433C3697F,2025-11-29,Venda de acessórios,Entrada,17,,legado_localstorage
FIN-147BFF5C225C,2025-11-29,Galão de água,Saída,18,,legado_localstorage
FIN-E5F9C1F802DA,2025-12-02,Combustivel,Saída,50,,legado_localstorage
FIN-12DD42A388EA,2025-12-04,Combustivel,Saída,50,,legado_localstorage
FIN-EBA261DE8EA4,2025-12-04,Henry free,Saída,200,,legado_localstorage
FIN-6FAE4F978179,2025-12-06,Almoço,Saída,124,,legado_localstorage
FIN-CBB3C33CA997,2025-12-06,Henry free,Saída,150,,legado_localstorage
FIN-FF8D141D5E61,2025-12-09,Combustivel,Saída,50,,legado_localstorage
FIN-F86F0D50AAA4,2025-12-09,Almoço,Saída,72,,legado_localstorage
FIN-E45B91F0346C,2025-12-10,Venda de acessórios,Entrada,19,,legado_localstorage
FIN-2D0815B991D5,2025-12-10,henry free,Saída,25,,legado_localstorage
FIN-E1F6FCF0669D,2025-12-11,venda de guia,Entrada,39.99,,legado_localstorage
FIN-A1CD7D2556FD,2025-12-11,Combustivel,Saída,50,,legado_localstorage
FIN-1883B82FF526,2025-12-10,Internet,Saída,109.99,,legado_localstorage
FIN-DC2B617EEF68,2025-12-13,Venda de acessorios,Entrada,26,,legado_localstorage
FIN-DF2C35260583,2025-12-12,Henry free,Saída,50,,legado_localstorage
FIN-74FBA7B5BE27,2025-12-13,Venda de roupinha,Entrada,40,,legado_localstorage
FIN-EE33A88CD5CB,2025-12-13,Combustivel,Saída,50,,legado_localstorage
FIN-54BB2016E50F,2025-12-13,Contas da loja,Saída,1058,,legado_localstorage
FIN-C14968596F70,2025-12-16,Venda de guias,Entrada,40,,legado_localstorage
FIN-CF50DB00AFE2,2025-12-17,Venda de acessórios,Entrada,30,,legado_localstorage
FIN-087AA2E42EB2,2025-12-17,Combustivel,Saída,100,,legado_localstorage
FIN-CF0C2C1FC811,2025-12-24,Aluguel,Saída,1825,,legado_localstorage
FIN-1D9B8DDB9C29,2025-12-19,Combustivel,Saída,50,,legado_localstorage
FIN-C6D6CDB5F775,2025-12-19,Venda de acessórios,Entrada,50,,legado_localstorage
FIN-7FF8A3A4A6E4,2025-12-13,Galão de água,Saída,18,,legado_localstorage
FIN-1511864F5011,2025-12-20,Venda de guia,Entrada,63,,legado_localstorage
FIN-1DDBE80288DC,2025-12-20,Venda de acessórios,Entrada,50,,legado_localstorage
FIN-72990CABF014,2025-12-20,Venda de acessorios,Entrada,40,,legado_localstorage
FIN-351106F4A5AA,2025-12-22,Henry free,Saída,100,,legado_localstorage
FIN-4078514FEDBE,2025-12-25,Henry free,Saída,330,,legado_localstorage
FIN-60F899312406,2025-12-25,Free Gustavo e João,Saída,200,,legado_localstorage
FIN-5D9113F93910,2025-12-24,Combustivel,Saída,50,,legado_localstorage
FIN-ECB47CB44BBE,2025-12-27,Almoço,Saída,152,,legado_localstorage
FIN-672681B286D6,2025-12-24,free leticia,Saída,60,,legado_localstorage
FIN-CB35B7E561FC,2026-01-09,Salario João e Gustavo,Saída,3695.33,,legado_localstorage
FIN-F22212D5E1A3,2026-01-09,Henry free,Saída,700,,legado_localstorage
FIN-E68D1C302F63,2026-01-09,FGTS,Saída,358.1,,legado_localstorage
FIN-23B2740AA895,2026-01-09,INSS,Saída,326.34,,legado_localstorage
FIN-0F8B695EACDC,2026-01-09,Free Gustavo,Saída,100,,legado_localstorage
FIN-1F7CBAA33B80,2026-01-08,Combustivel,Saída,20,,legado_localstorage
FIN-6DFE5D98DF13,2026-01-07,Combustivel,Saída,40,,legado_localstorage
FIN-3101FF7215F1,2026-01-03,Serviço realizado,Entrada,340,,legado_localstorage
FIN-E819F95618E7,2026-01-07,Serviço realizado,Entrada,911.38,,legado_localstorage
FIN-31AF2C96D5D5,2026-01-08,Serviço realizado,Entrada,755,,legado_localstorage
FIN-E6E356C005DB,2026-01-10,Combustivel,Saída,45,,legado_localstorage
FIN-2CEA356F3418,2026-01-16,Galão de água,Saída,19,,legado_localstorage
FIN-9BD8C5E2D36F,2026-01-16,Combustivel,Saída,30,,legado_localstorage
FIN-CFAFC6628186,2026-01-15,Combustivel,Saída,50,,legado_localstorage
FIN-D45B02E777B0,2026-01-23,Combustivel,Saída,50,,legado_localstorage
FIN-8E524FA559C8,2026-01-24,Henry free,Saída,70,,legado_localstorage
FIN-A8A6860A7714,2026-01-24,Combustivel,Saída,30,,legado_localstorage
FIN-1799DE46E3F8,2026-01-27,Combustivel,Saída,30,,legado_localstorage
FIN-4025CA3B31CE,2026-01-30,Combustivel,Saída,60,,legado_localstorage
FIN-4CD438AB86D1,2026-01-31,Almoço,Saída,96.5,,legado_localstorage
FIN-2EFBE034405C,2026-01-25,Aluguel + IPTU,Saída,1825,,legado_localstorage
FIN-7A6541563C4D,2026-01-10,saida,Saída,702.6,,legado_localstorage
FIN-454E508DD623,2026-01-17,Henry,Saída,90,,legado_localstorage
FIN-049B43D294F4,2026-01-17,Combustivel,Saída,30,,legado_localstorage
FIN-EED45EB5FF16,2026-01-17,Almoço,Saída,120,,legado_localstorage
FIN-83CE8CE00FB2,2026-01-23,Lacinhos,Saída,234,,legado_localstorage
FIN-1743F6572857,2026-01-24,saidas pessoais,Saída,110,,legado_localstorage
FIN-A3C6AD0FA24A,2026-01-24,Combustivel,Saída,50,,legado_localstorage
FIN-C97C150AD5B3,2026-01-28,Combustivel,Saída,100,,legado_localstorage
FIN-F3FEE911C2A6,2026-01-31,Henry,Saída,50,,legado_localstorage
FIN-75DE3ED12536,2026-01-20,Contadoria,Saída,350,,legado_localstorage
FIN-05A06CE27A56,2026-02-07,Combustivel,Saída,30,,legado_localstorage
FIN-D561018E54ED,2026-02-05,Salario João e Gustavo,Saída,3808.76,,legado_localstorage
FIN-AD2B04675DF1,2026-02-08,Henry,Saída,195,,legado_localstorage
FIN-DC09FA844E12,2026-02-12,Combustivel,Saída,50,,legado_localstorage
FIN-B1AA8210A7DC,2026-02-15,Henry,Saída,150,,legado_localstorage
FIN-E7E398397766,2026-02-18,Combustivel,Saída,30,,legado_localstorage
FIN-150607E69F60,2026-02-17,Combustivel,Saída,30,,legado_localstorage
FIN-DAE2E1E90DC1,2026-02-19,Venda de caminha,Entrada,80,,legado_localstorage
FIN-54F1F3EA8BA5,2026-02-19,Combustivel,Saída,30,,legado_localstorage
FIN-3FDCFA0EB6CC,2026-02-20,Combustivel,Saída,30,,legado_localstorage
FIN-A83F77605CC7,2026-02-21,Almoço,Saída,91,,legado_localstorage
FIN-B8EE3CC53CB0,2026-02-23,banhos,Entrada,75,,legado_localstorage
FIN-7D387110FDC3,20226-01-22,Henry,Saída,250,,legado_localstorage
FIN-0190B0015DE0,2026-02-22,banhos,Entrada,580,,legado_localstorage
FIN-87E5A601EF12,2026-02-03,Combustivel,Saída,50,,legado_localstorage
FIN-4AA42A5F613F,2026-02-04,Combustivel e agua,Saída,69,,legado_localstorage
FIN-42F16D52D655,2026-02-05,Henry,Saída,100,,legado_localstorage
FIN-C0C38FE8B004,2026-02-06,Combustivel,Saída,66,,legado_localstorage
FIN-4050A01CEC78,2026-02-13,Combustivel,Saída,30,,legado_localstorage
FIN-C236BFA792C0,2026-02-15,Combustivel,Saída,50,,legado_localstorage
FIN-A5AB179F753A,2026-02-17,carro + documento,Saída,4076,,legado_localstorage
FIN-F425A33DCDB0,2026-02-21,Laços e adesivos,Saída,320,,legado_localstorage
FIN-556144658052,2026-02-22,Henry,Saída,250,,legado_localstorage
FIN-7C22D2A3B9C2,2026-02-24,Aluguel,Saída,1800,,legado_localstorage
FIN-50C941459419,2026-02-24,contabilidade,Saída,350,,legado_localstorage
FIN-13A74FB9552D,2026-02-24,imposto + gps + fgts,Saída,941,,legado_localstorage
FIN-92E5AB399953,2026-02-24,energia,Saída,507,,legado_localstorage
FIN-439D72057775,2026-02-24,conta de agua,Saída,167,,legado_localstorage
FIN-F8C78584B089,2026-02-25,Combustivel,Saída,35,,legado_localstorage
FIN-1D802C1648D3,2026-02-24,Combustivel,Saída,50,,legado_localstorage
FIN-14D320F987FA,0206-03-05,Combustivel,Saída,50,,legado_localstorage
FIN-16519873781C,2026-03-04,Combustivel,Saída,35,,legado_localstorage
FIN-E5F05D3292D3,2026-03-05,Combustivel,Saída,50,,legado_localstorage
FIN-758A66F0DC82,2026-03-07,Combustivel,Saída,40,,legado_localstorage
FIN-C1DE0FCDE207,2026-03-10,Combustivel,Saída,40,,legado_localstorage
FIN-CB54ADE09083,2026-03-12,combustivel,Saída,40,,legado_localstorage
FIN-D0C8211BEE6B,2026-03-12,galão de agua,Saída,19,,legado_localstorage
FIN-76BE96A6EB68,2026-03-13,almoço,Saída,75,,legado_localstorage
FIN-789BC57943C2,2026-03-13,combustivel,Saída,40,,legado_localstorage
FIN-B1CEC44041CB,2026-03-14,combustivel,Saída,40,,legado_localstorage
FIN-FEA2B45DC1B6,2026-03-17,combustivel,Saída,40,,legado_localstorage
FIN-971DBC1DCA8B,2026-03-15,Serviços prestados,Entrada,1255,,legado_localstorage
FIN-BD3D35FC8107,2026-03-15,henry,Saída,373.5,,legado_localstorage
FIN-72835830A3D9,2026-03-05,Salários João e Gustavo,Saída,3808.76,,legado_localstorage
FIN-03AD778CC1B0,2026-03-21,combustivel,Saída,40,,legado_localstorage
FIN-7C75B60C23D0,2026-03-20,combustivel,Saída,40,,legado_localstorage
FIN-6A5A001F2CEB,2026-03-15,Serviços prestados,Entrada,420,,legado_localstorage
FIN-EFF1D43DBBA5,2026-03-17,Serviços prestados,Entrada,300,,legado_localstorage
FIN-7F2D73194FAB,2026-03-18,combustivel,Saída,40,,legado_localstorage
FIN-D7243A0BA445,2026-03-26,combustivel,Saída,30,,legado_localstorage
FIN-63FE289D6E01,2026-03-25,aluguel,Saída,1800,,legado_localstorage
FIN-9A9BD2FE93E4,2026-03-28,combustivel,Saída,50,,legado_localstorage
FIN-3EDEF81F3DB3,2026-03-29,Serviços prestados,Entrada,1267,,legado_localstorage
FIN-CCBDDA46EA55,2026-04-01,combustivel,Saída,40,,legado_localstorage
FIN-A0B8E179838C,2026-04-03,combustivel,Saída,40,,legado_localstorage
FIN-379572D1C7FA,2026-04-15,Pacote do Abel,Entrada,430,,legado_localstorage
FIN-80D73320352C,2026-04-18,internet,Saída,112.48,,legado_localstorage
FIN-9A2216921191,2026-04-24,combustivel,Saída,50,,legado_localstorage
FIN-B0303BD3CED4,2026-04-23,combustivel,Saída,50,,legado_localstorage
FIN-B20F2C5A9E92,2026-04-28,combustivel,Saída,40,,legado_localstorage
FIN-1433E71FC083,2026-04-29,combustivel,Saída,40,,legado_localstorage
FIN-DBAE1A82B8E8,2026-04-25,aluguel,Saída,1800,,legado_localstorage
FIN-1052519F65A9,2026-04-30,venda de caminha 100,Entrada,100,,legado_localstorage
FIN-C7C3A82C3927,2026-04-30,venda de acessorio,Entrada,12,,legado_localstorage
FIN-93DD09C99FE4,2026-05-02,almoço,Saída,90,,legado_localstorage
FIN-2A58FF7BAF9C,2026-05-02,fabi laços,Saída,138,,legado_localstorage
FIN-8AE3A0A2F33C,2026-05-05,almoço,Saída,104,,legado_localstorage
FIN-E758F22455D8,2026-05-07,lanche,Saída,101.7,,legado_localstorage
FIN-5ADB2EF36200,2026-05-08,combustivel,Saída,50,,legado_localstorage
FIN-D238BCD0B8B6,2026-05-06,henry,Saída,100,,legado_localstorage
FIN-6D37BA5657AB,2026-05-07,henry,Saída,100,,legado_localstorage
FIN-34A1DF83C24F,2026-05-09,combustivel,Saída,50,,legado_localstorage
FIN-122BB759506F,2026-05-09,henry,Saída,700,,legado_localstorage
FIN-D1E5E66697BF,2026-05-11,combustivel,Saída,50,,legado_localstorage
FIN-4E794D9C9811,2026-05-11,oleo do carro,Saída,35,,legado_localstorage
FIN-B311D79EC7C2,2026-05-15,insumos,Saída,25.47,,legado_localstorage
FIN-C483C0735579,2026-05-23,combustivel,Saída,50,,legado_localstorage
FIN-0E2DA0A4F987,2026-05-23,almoço,Saída,133,,legado_localstorage
FIN-D8DEA41FB3F9,2026-05-26,almoço,Saída,21.99,,legado_localstorage
FIN-54E00CD15367,2026-05-30,Hidratante pet clean,Entrada,24.99,,legado_localstorage
FIN-78F7D0441C80,2026-05-30,almoço,Saída,78,,legado_localstorage
FIN-8AE2FA3D649B,2026-05-30,máquininhas de tosa,Saída,88.48,,legado_localstorage
FIN-B03C94902FDF,2026-06-02,combustivel,Saída,40,,legado_localstorage
FIN-D2F3AF129349,2026-06-02,almoço,Saída,62.79,,legado_localstorage
FIN-6F78739A7BA0,2026-06-02,insumos,Saída,21.8,,legado_localstorage
FIN-C2675CCA0C0C,2026-06-09,Gustavo,Saída,70,,legado_localstorage
FIN-7082BF8D9F4A,2026-06-09,combustivel,Saída,50,,legado_localstorage
FIN-C8D3C884829A,2026-06-10,internet,Saída,114.99,,legado_localstorage
FIN-265568B5CD95,2026-06-15,Pacote do Abel,Entrada,430,,legado_localstorage
FIN-94234557C42E,2026-06-17,combustivel,Saída,50,,legado_localstorage
FIN-6A4BBBC9D5C0,2026-06-18,Pacote Billy,Entrada,240,,legado_localstorage
FIN-44E1385D87C9,2026-06-17,combustivel,Saída,50,,legado_localstorage
FIN-51B630B0DF2F,2026-06-17,Casa,Saída,1700,,legado_localstorage
FIN-30626C6ADC7D,2026-06-18,Casaquinho,Entrada,80,,legado_localstorage
FIN-62DB3DD79C87,2026-06-19,Saída Pessoal Lane,Saída,84,,legado_localstorage
FIN-C655FEC64D75,2026-06-20,Compra de petisco e produtos,Saída,180,,legado_localstorage
FIN-6A55FA520ECE,2026-06-20,Conta de água,Saída,163,,legado_localstorage
FIN-FC61A1C28B18,2026-06-20,Galão de água,Saída,19,,legado_localstorage
FIN-CFEB6AE33AC8,2026-06-23,almoço,Saída,43.79,,legado_localstorage
FIN-585C786D0565,2026-06-27,Venda de Mantinha,Entrada,25,,legado_localstorage
FIN-29533ADF2835,2026-06-30,almoço,Saída,78,,legado_localstorage
FIN-A94F7CFECE65,2026-07-03,Venda de Petisco 150g,Entrada,50,,legado_localstorage
FIN-8E150D20EA67,2026-07-04,Compra de Toalha,Saída,418.5,,legado_localstorage
FIN-5A79372194E4,2026-07-03,Venda de Petisco,Entrada,31,,legado_localstorage
FIN-28238F8A1A37,2026-07-03,Venda de Shampoo,Entrada,22,,legado_localstorage
FIN-2B4C5EEA9BF2,2026-07-04,Compra de lacinho e almofada para penteado,Saída,70,,legado_localstorage
FIN-5B4104B105BE,2026-07-04,almoço,Saída,80,,legado_localstorage
FIN-CCAC0296D969,2026-07-04,combustivel,Saída,50,,legado_localstorage
FIN-E103E17B70CE,2026-07-04,Pacote da Kiara,Entrada,199.9,,legado_localstorage
FIN-270A2F592C38,2026-07-04,Venda de Roupinha,Entrada,30,,legado_localstorage
FIN-5B3BBD50D7BD,2026-07-10,Venda de perfume e hidratante de patinha,Entrada,54,,legado_localstorage
FIN-96A4E773FB72,2026-07-07,combustivel,Saída,50,,legado_localstorage
FIN-F71A17BE2D17,2026-07-08,almoço,Saída,78,,legado_localstorage
FIN-841FD831CF02,2026-07-01,Gustavo,Saída,21.8,,legado_localstorage
FIN-F026CD835442,2026-07-02,Jonas,Saída,150,,legado_localstorage
FIN-08DF8153C8B8,2026-07-03,Jonas,Saída,1000,,legado_localstorage
FIN-242E7F693FDF,2026-07-03,IPTU,Saída,160.84,,legado_localstorage
FIN-3390923BAD18,2026-07-04,Jonas,Saída,130,,legado_localstorage
FIN-BE638E33FC81,2026-07-04,Jonas,Saída,500,,legado_localstorage
FIN-4C3E014F4897,2026-07-04,Mel,Saída,75,,legado_localstorage
FIN-E3B5585474AC,2026-07-04,Gustavo,Saída,200,,legado_localstorage
FIN-60C1BD2A1BAD,2026-07-06,Jonas,Saída,500,,legado_localstorage
FIN-49FB78758A77,2026-07-06,Compra de descarga,Saída,212,,legado_localstorage
FIN-1CFF60E40461,2026-07-07,Jonas,Saída,300,,legado_localstorage
FIN-32A43A6D9CF1,2026-07-08,troco,Saída,22,,legado_localstorage
FIN-60CB66B185F0,2026-07-08,Jonas,Saída,500,,legado_localstorage
FIN-9247EDEECF7A,2026-07-09,Jonas,Saída,500,,legado_localstorage
FIN-A79FCA6725FD,2026-07-10,Leticia pagamento + troco de almoço,Saída,1088,,legado_localstorage
FIN-111D332A3364,2026-07-10,Internet,Saída,114.99,,legado_localstorage
FIN-F334F71FA905,2026-07-11,almoço,Saída,124,,legado_localstorage
FIN-4247DB22B388,2026-07-11,segurança,Saída,100,,legado_localstorage
FIN-DCB3175F08D9,2026-07-15,Venda Shampoo gato,Entrada,22,,legado_localstorage
FIN-81E4B26F2371,2026-07-15,Pacote do Abel,Entrada,430,,legado_localstorage
FIN-633CD2046514,2026-07-18,Combústível,Saída,50,,legado_localstorage
FIN-B2139EC06247,2026-07-18,almoço,Saída,106,,legado_localstorage
FIN-F37C1D63BF8C,2026-07-22,almoço,Saída,128,,legado_localstorage
FIN-9A0C3643359B,2026-07-22,João,Saída,8,,legado_localstorage
FIN-BB8392B859C7,2026-07-24,Venda Tapetinho + bolinha,Entrada,66,,legado_localstorage
FIN-D154878BCF5D,2026-07-23,combustível,Saída,50,,legado_localstorage
FIN-0489B2E38E7A,2026-07-25,almoço,Saída,63,,legado_localstorage
FIN-B0E1F04BAEFB,2026-07-24,aluguel,Saída,1825,,legado_localstorage
FIN-FB85CC7D0DA5,2026-07-25,fabi,Saída,112.5,,legado_localstorage
FIN-06F87A30AEEF,2026-07-25,água,Saída,163,,legado_localstorage
FIN-EE60DD1D7357,2026-07-23,Galão de água,Saída,19,,legado_localstorage
FIN-91F5963FD3E9,2026-07-22,almoço,Saída,116,,legado_localstorage
FIN-C8D7040588DC,2026-07-29,Roupinha P,Entrada,25,,legado_localstorage
FIN-55AB9B2712EE,2026-07-28,Hotelzinho + banho Toddy,Entrada,110,,legado_localstorage
FIN-3E3A19471DAC,2026-07-30,combustível,Saída,50,,legado_localstorage
FIN-DE99F9F9B4AA,2026-08-05,Pagamento manutenção da Maquina,Saída,95,,legado_localstorage
FIN-304C175EFF49,2026-08-05,TAXI DOG VIVI 15/07-05/08,Saída,265,,legado_localstorage
FIN-B625D31AE8FA,2026-07-13,Compra pra loja franco,Saída,117.41,,legado_localstorage
FIN-0D3EE2FF610B,2026-07-22,troco vivi,Saída,15,,legado_localstorage
FIN-E7EE60DEF150,2026-08-05,Anúncios julho,Saída,586,,legado_localstorage
FIN-DDAC8EF054E0,2026-08-06,Jonas,Saída,280,,legado_localstorage
FIN-51B3C937F0B8,2026-08-06,Pacote ísis e horus,Entrada,680,,legado_localstorage
FIN-C4BDAE24E628,2026-08-05,Marmita Lê,Saída,38,,legado_localstorage
FIN-45C940E20A83,2026-08-06,Audiência,Saída,500,,legado_localstorage
FIN-A05D29C126EC,2026-08-06,Advogado,Saída,600,,legado_localstorage
FIN-125E20005C16,2026-08-11,almoço,Saída,78,,legado_localstorage
FIN-558D468656C1,2026-08-11,Almoço,Saída,90,,legado_localstorage
FIN-888EEDC61127,2026-08-11,Taxa de funcionamento,Saída,161.36,,legado_localstorage
FIN-BDDB57A0B886,2026-08-11,Segurança,Saída,100,,legado_localstorage
FIN-6C55F7D1DFB3,2026-08-11,taxig dog vivi,Saída,40,,legado_localstorage
FIN-E61052DD79F4,2026-08-12,papel toalha e etc,Saída,35.56,,legado_localstorage
FIN-81630700D22A,2026-08-13,Internet,Saída,117.4,,legado_localstorage
FIN-397795CAAE03,2026-08-14,TAXI DOG VIVI,Saída,50,,legado_localstorage
FIN-51680F4DF3DB,2026-08-14,almoço,Saída,104,,legado_localstorage
FIN-D94148C6A808,2026-08-14,Salário Vivi,Saída,1470,,legado_localstorage
FIN-30AC48D19870,2026-08-10,Salário Leticia,Saída,1000,,legado_localstorage
FIN-F8D401F5C082,2026-08-15,compra de toalhas,Saída,460.75,,legado_localstorage
FIN-234551506FF7,2026-08-15,água,Saída,167.84,,legado_localstorage
FIN-D9287F7478CE,2026-08-01,Salário Astolfo,Saída,250,,legado_localstorage
FIN-7A60D86D5692,2026-08-08,Salário Astolfo,Saída,250,,legado_localstorage
FIN-C1A3BD9436A1,2026-08-15,Salário Astolfo,Saída,250,,legado_localstorage
FIN-01BD3BA06491,2026-08-01,salário Gu,Saída,200,,legado_localstorage
